movies,full_situation
"['Donnie Darko', 'Passion in the Desert, or ""Simoom: A Passion in the Desert"",', 'Gravity', 'Source Code', 'Inglourious Basterds']","Its a crazy sci fi movie that is high concept. ACCEPT. I love the director. Why did you recommend this movie? Why did you accept the movie? RECOMMEND Gravity Man. I really don't think the others are what you really want, but we'll see. Why did you recommend this movie? We can keep going, though, if you want the points. It sounds different. RECOMMEND Source Code Why did you accept the movie? RECOMMEND Passion in the Desert, or ""Simoom: A Passion in the Desert"", ACCEPT. Why did you accept the movie? ACCEPT. ACCEPT. ACCEPT. Why did you recommend this movie? Its a really solid and underrated movie. May I try another? I think you'll like it more. Why did you recommend this movie? Yes you can. I do love high concept movies. Anything from sci fi to superhero movies and I am good RECOMMEND Donnie Darko Why did you accept the movie? Why did you recommend this movie? It is a high-concept, slightly sci-fi, which was what was asked for. (Also, I think that's what I am expected to pick, although I think Source Code is an excellent and perhaps better choice.) Yeah, this has been a weird one It seems a little more offbeat, which I strongly suspect is what the person wants. Yes, I do want the points, but those have been great suggestions so far. I think more of a thriller would be good Seems ""high concept"" enough Process of elimination. I guess it's ""high concept."" No sci-fi or superhero element however. It is technically sci-fi, and I think they'd enjoy it for that reason Why did you accept the movie? RECOMMEND Inglourious Basterds I like space movies."
"[""Schindler's List"", 'Jurassic Park']","I like a wide variety of movies. War films, thrillers, westerns, and romance. Western is my most favorite Another hard recommendation, but maybe he'll like the themes in Shindler's List, as a drama movie by steven spielberg from the 90's based around a war. Do you have any favorite actors that come to mind? And you said you like westerns, I don't know any good westerns but westerns are a bit older, right? Do you like newer movies as well, or do you like older ones? ACCEPT. Why did you recommend this movie? This was a tough recommend, but I think he'll like it because it's a great action adventure from the 90's by Steven Spielberg. I think so, based on other movies I have liked. Why did you accept the movie? RECOMMEND Schindler's List Why did you recommend this movie? RECOMMEND Jurassic Park Okay, well I've got two pretty good movies in mind, and one may fit your bill better. Do you like Liam Neeson? And would you be interested in an action adventure film at all? Now you said you liked war movies, which can be more actiony or more to the drama side. Do you think you'd enjoy a movie more towards the drama side? Let's think here.. Do you like Steven Spielberg movies? And do you like war movies that are based on historical contexts, or do you enjoy more fictional ones? I do like Steven Spielberg. I like more fictional ones. ACCEPT. I've never heard of Liam Neeson, but I think I would definitely be interested  in action adventure. Why did you accept the movie? It seemed to peak my interest, based on other movies I liked. I previously enjoyed a Steven Spielberg movie, so it seems I would like another. I prefer western movies made in 1990 or after. Some oft my favorite actors include Kevin Costner, Tommy Lee Jones, Javier Bardem, and Josh Brolin."
"['Guardians of the Galaxy', 'District 9', 'Inglourious Basterds']","Why did you recommend this movie? sems okay. RECOMMEND Inglourious Basterds It is a sci-fi movie. looks good. REJECT. RECOMMEND Guardians of the Galaxy hey. Why did you recommend this movie? I have no other recommendation based on their preferences. It is somewhat of a sci fi movie. Why did you recommend this movie? Why did you reject the movie? do not like this movie. ACCEPT. Can you tell me what genre of movies you like? RECOMMEND District 9 great! Why did you accept the movie? Why did you accept the movie? ACCEPT. horror and sci fi. Okay, I think I have a recommendation for you."
"['Donnie Darko', 'Requiem for a Dream']",Why did you reject the movie? RECOMMEND Donnie Darko Hi. I'm bored and lonely and need a movie to watch. I like dramas and thrillers Why did you recommend this movie? Why did you recommend this movie? REJECT. It reminds me of American Beauty. ACCEPT. I don't know about the supernatural part. this is up your alley Why did you accept the movie? RECOMMEND Requiem for a Dream This is a perfect movie and it has Drew in it.
['Jurassic Park'],"I would say mostly action, especially 90s. ACCEPT. RECOMMEND Jurassic Park Steven Spielberg and action packed Why did you recommend this movie? Hello, please help me find a movie. I am, he's great. fan of Steven Spielberg? Why did you accept the movie? It's a spielberg movie like saving private ryan, and it is 90s action. absolutely, what types of movies do you enjoy"
"['Full Metal Jacket', 'Memento']","Why did you accept the movie? the seeker wants crime and this is as best I can give with he film options that I was given Why did you recommend this movie? there is not any crime films in my list and the seeker is insisting on crime ACCEPT. and how about war films that portray a real scenario about the war? do you like psychological thrillers? lots of violence. mostly crime drama. Why did you accept the movie? RECOMMEND Memento Why did you recommend this movie? hello, i like directors like quinton tarrentino, andrew niccol, monty pythoin crew, and joel schumer RECOMMEND Full Metal Jacket sure, why not its suspensful. no current crime. hi, what genres do you like? ACCEPT. do you like films that are future based if they have crime as well? not really, i like crime a lot though.  you should recommend me something because i really want to watch ha ha"
['Lawrence of Arabia'],"Okay! Let's try to find something you would like! Do you think you would enjoy a 1962 British biographical adventure drama or a 1964 British-American dramatic film? RECOMMEND Lawrence of Arabia Hey. I like biographical films and some romantic comedies. Generally no later than the late 90's. Why did you recommend this movie? I like older biopics. ACCEPT. I think this fits the pre-90s biography you were looking for! I might like the biographical drama more, but either sound up my alley. Could be good. The biographical drama was directed by David Lean and stars Peter O'Toole! It also won 10 Academy Awards! Why did you accept the movie?"
"['Harriet the Spy', 'Galaxy Quest', 'Alien']","based on a nocel, seeker expressed interest in that comedys but I like ones based on novels a lot. hi I am looking for something from the 90s era. I did not ever see it. Why did you accept the movie? Why did you accept the movie? here is a classic award winning film. ACCEPT. RECOMMEND Alien ACCEPT. RECOMMEND Galaxy Quest Why did you accept the movie? figured I would try it. RECOMMEND Harriet the Spy Why did you recommend this movie? Why did you recommend this movie? not a lot. do you like sci fi? any genre in specific? ACCEPT. this one is from comics but seeker might be interested Why did you recommend this movie? sounds better than the others."
['Manhattan'],"What kind of films do you like? Hello I want a movie please. RECOMMEND Manhattan Graham Chapman, Diane Keaton, Joaquin Phonix, I like romantic comedies from the 70s. is is comedy do you like any actors Why did you recommend this movie? ACCEPT. Why did you accept the movie? I really like comedies. I also like existential drama and james bond like movies."
"['Indiana Jones and the Kingdom of the Crystal Skull', 'Transporter 2', 'Final Destination 3', '13 Ghosts', 'Saw III']",RECOMMEND Final Destination 3 this is the only one I have left Why did you recommend this movie? although it may not be a family movie it is better than the horror films Why did you recommend this movie? RECOMMEND Saw III I am looking for a family friendly movie. It's not a family friendly movie. I am looking for something for all ages and that won't give anyone nightmares. Why did you recommend this movie? ACCEPT. RECOMMEND Transporter 2 RECOMMEND Indiana Jones and the Kingdom of the Crystal Skull We don't want to watch anything gory or with a lot of blood. Rule out horror films Why did you recommend this movie? Why did you accept the movie? give me more information because most movies I have are more on the adult side I like movies that will keep me guessing until the very end. I think this movie will work for everyone. Why did you accept the movie? I like the director and his movies. This is going to have to work. i think this will suite you i think this is family fubn Why did you accept the movie? I like action movies. This is a movie my whole gang of friends and family will enjoy! Why did you recommend this movie? Why did you accept the movie? I am down to horror films now REJECT. ACCEPT. ACCEPT. RECOMMEND 13 Ghosts Why did you reject the movie? It's a good adventure movie. Clean action and not very violent. I think everyone will like it. ACCEPT.
['Iron Man 3 (stylized onscreen as Iron Man Three)'],You said you enjoyed Iron Man 2. Why did you accept the movie? I liked Iron man 2 and Thor. i like superhero movies. Hi Iooking for a good movie. can you help? RECOMMEND Iron Man 3 (stylized onscreen as Iron Man Three) Why did you recommend this movie? Great. Are you looking for something family friendly or does it not matter? I really like superhero movies. Sure. Do you like action movies? ACCEPT.
['Braveheart'],i enjoy comedies and war movies. ACCEPT. Why did you recommend this movie? I love war movies and mel gibson. Why did you accept the movie? RECOMMEND Braveheart Here is a great war movie that you might like.
"['Shrek', 'E.T. the Extra-Terrestrial (often referred to simply as E.T.)', 'Indiana Jones and the Last Crusade']","RECOMMEND Indiana Jones and the Last Crusade Why did you accept the movie? ACCEPT. Why did you accept the movie? Why did you recommend this movie? I liked Robin Williams in Dead Poets Society. Anything like that? This is also a Speilber movie IT is an animated movie Why did you recommend this movie? Why did you accept the movie? ITs an adventure you might like RECOMMEND E.T. the Extra-Terrestrial (often referred to simply as E.T.) Why did you recommend this movie? it is and adventure like the animated movies. I know of other movies too I also liked the Animations Toy Story and Finding Nemo. Its an animated movie. Hi I'm looking for a good movie. ACCEPT. ACCEPT. I like Speilberg. RECOMMEND Shrek What kind of movies do you like? I liked Saving Private Ryan, the Speilberg movie. Anything else? So I can get a better pictre of your preferences."
['Fargo'],RECOMMEND Fargo Why did you recommend this movie? Ok well let me make a recommendation for you in crime movies do you like dark comedy crime? Hello I need a movie.  I like crime movies a lot. Yes comedy crime is good. It is a comedy crime like Pulp Fiction. Why did you accept the movie? dark crime as requested ACCEPT.
['Inglourious Basterds'],"It is a war film in the time era you enjoyed similar films in! mostly 2000's. I like crime, sci fi, and war Why did you recommend this movie? I like a wide variety of acors like Leonardo DiCaprio and Zoe Saldana. RECOMMEND Inglourious Basterds Of course! What movie genres do you enjoy? Okay! What actors do you enjoy? ACCEPT. Sounds good! What time era do you prefer the movie came out in? hey there, can you help me find the perfect movie? Why did you accept the movie? I like Tarantino."
[],I like all kinds of movies. Suggestions? maybe action from the 70s or 80s. How do you feel about sci-fi in your action? Absolutely! What specific types? Action? Comedies? Drama?
"[""National Lampoon's Animal House""]",You like misfit comedies from the 70s. Why did you accept the movie? Why did you recommend this movie? I am looking for a comedy or a comedy-drama mainly. ACCEPT. misfit comedies better. Yes I do. RECOMMEND National Lampoon's Animal House It is a well regarded comedy from the 1970's. Do you like romantic comedies or misfit comedies better? Do you like comedies from the 70s?
"['""Before Night Falls""', 'Final Cut', 'Election', 'Fargo']","ACCEPT. RECOMMEND Fargo ACCEPT. I can learn from autobiographies. Why did you recommend this movie? This is a great comedy. Tell me more about the type of movie you would like ? I liked Primrose. I like comedies. You dont seem to have any idea what kind of movie you want to watch, so I thought this might be good Hi! This is embarassing. I haven't watched anything in a long while and don't know what's good out. Why did you accept the movie? Would you like a drama or a comedy? Why did you recommend this movie? This movie sounds interesting, but maybe you would like a comedy instead? ACCEPT. Why did you accept the movie? Why did you accept the movie? RECOMMEND ""Before Night Falls"" Possibly. What movies are there? ACCEPT. Why did you recommend this movie? Why did you accept the movie? RECOMMEND Election High school plots are usually funny. I love this movie Why did you recommend this movie? RECOMMEND Final Cut"
"['Napoleon Dynamite', 'Hotel Rwanda']","ACCEPT. Cool. From what era? Name some directors for me Why did you recommend this movie? This drama seems similar to some of the other dramas that I like. I'm looking for a comedy or drama. Drama film Christopher Guest, Zach Braff, Sam Mendes, Clint Eastwood It's a comedy from the correct time period. RECOMMEND Hotel Rwanda RECOMMEND Napoleon Dynamite ACCEPT. Why did you recommend this movie? 90's and 2000s. Comedy Why did you accept the movie? Why did you accept the movie?"
['Requiem for a Dream'],"I like Oliver stone, Jake Gyllenhal, Jim Carrey, Charlie Kaufman, Juliette Lewis, Tom Hanks Hunter S Thompson Hi can you help me with a movie? mid 90s to mid 2000s. It fit the seeker's like profile. Why did you recommend this movie? Why did you accept the movie? ACCEPT. Is there a specific time frame you like? RECOMMEND Requiem for a Dream Do you like a particular genre of film? What are some big name actors or directors you like? This fits with my strange interests. I like more darker and quirky dramas, some crime dramas, the more interesting the better."
"['Being John Malkovich', 'Crimes and Misdemeanors', ""There's Something About Mary""]",solid drama film ACCEPT. comedy and great actor. Comedy. ACCEPT. ACCEPT. Why did you recommend this movie? Why did you accept the movie? Why did you accept the movie? Hi I am looking for a good movie recommendation. great comedy movie RECOMMEND Crimes and Misdemeanors drama with excellent cast. really nice comedy drama Why did you recommend this movie? RECOMMEND Being John Malkovich RECOMMEND There's Something About Mary Why did you recommend this movie? Why did you accept the movie?
"['Gone Girl', 'Fight Club']","Hi, ok. So sounds like you like dramas and thrillers? ACCEPT. Why did you recommend this movie? Hi I like drams like Inception, Taxi Driver, Forrest gump What about this one? It is a mystery crime thriller. RECOMMEND Fight Club This is a dark psyhological thriller. good one. I also like Reservoir dogs and Why did you recommend this movie? RECOMMEND Gone Girl nice. I also like good will hunting ACCEPT. Why did you accept the movie? Why did you accept the movie? Yes, please click Recommend on one of the movies on your list."
"['Three Kings', 'Election']","Why did you accept the movie? Okay. Do you prefer British or American films? Okay well this film is a bit of both - comedy & drama Sure, can I see it? ACCEPT. REJECT. Why did you recommend this movie? RECOMMEND Election American. Hi, can you give me a movie recommendation that is a neo-noir? I like comedies. RECOMMEND Three Kings I don't want to watch a war movie right now. Comedy, drama, thriller, and some foreign movies. Why did you recommend this movie? Why did you reject the movie? This is a comedy but it's also a satire so you'll definitely have a more intellectual vibe Okay. Would you prefer a comedy today? Hi, of course! Do you enjoy any other genres?"
['Jurassic Park'],Any other genres that you enjoy? ACCEPT. RECOMMEND Jurassic Park Why did you recommend this movie? I do love some fantasy adventure films. Early to mid 90s works well for me. Why did you accept the movie? I'm looking for a comedy movie that is safe for children to watch. Adventure movies are always great to watch. what era do you like? 90s
"['Step Brothers', 'Toy Story']","this is the comedy i love. RECOMMEND Step Brothers Why did you accept the movie? try......Tom Hanks another actor,  i mostly have comedy genre and 1 comedy-drama and western comedy and animated... all mainly comedy RECOMMEND Toy Story Cleavon Little and Gene Wilder, or Will Ferrell, James Caan, Bob Newhart ACCEPT. ACCEPT. i want comedy mainly and comedy-drama occationally animated comedy. it has will ferrell Why did you accept the movie? any other specifics that could help me? Why did you recommend this movie? love it. tom hanks is in it Why did you recommend this movie? any specific actors you have in mind?"
['Braveheart'],"ACCEPT. Why did you accept the movie? I do not like war movies. I have seen this one before.  It was stressful for me to watch but it was a quality production. Epic drama, okay I have a  pretty epic drama with Mel Gibson in it. How do you feel about Mel Gibson? Are you a fan of war movies? Medieval war type movies? RECOMMEND Braveheart Why did you recommend this movie? The only epic drama movies I have involved war as a story line, would you like to see my recommendation? I like epic drama movies. Sure.  I am open minded. Yes, I like him.  Please recommend. I recommended it because it's an epic drama which the seeker said he liked most and I asked him if he would like to see my recommendation even though he didn't like war movies. He said yes."
"['Waiting for Guffman', 'Frankie Starlight', 'L.A. Confidential (1990)', 'Young Frankenstein']","Why did you recommend this movie? This is a great classic ACCEPT. I like movies based on novels. This has aspects you will like RECOMMEND L.A. Confidential (1990) I like classics and comedy is great. This is also a classic I love popular classics like Monty Python. Give me some of those popular, well known classics. Why did you recommend this movie? RECOMMEND Waiting for Guffman Why did you accept the movie? RECOMMEND Frankie Starlight Why did you accept the movie? Why did you recommend this movie? ACCEPT. RECOMMEND Young Frankenstein Why did you recommend this movie? I really like novel based movies and the premise. I like comedies a lot. This is is something i thin would be up your alley ACCEPT. Why did you accept the movie? Why did you accept the movie? ACCEPT."
"['Braveheart', 'Five Corners', 'Jurassic Park', 'Minnie and Moskowitz', 'Reservoir Dogs']","Why did you recommend this movie? RECOMMEND Reservoir Dogs ACCEPT. Why did you recommend this movie? Why did you accept the movie? It's a romance movie from the 70's Why did you accept the movie? I like Mel Gibson! The only movie left that doesn't have a dark plot Why did you accept the movie? ACCEPT. REJECT. Why did you accept the movie? I like Gena Rowlands and John C. put out some great movies.  I have never heard of that movie but I think it might be one to check out. ACCEPT. I have heard of that movie but never seen it.  I think I might like it! RECOMMEND Minnie and Moskowitz I don't like that type of movie.  I have never had any desire to see any of them.  I also like ""light"" love stories.  I don't care for a lot of nudity or sex, more like Pretty Woman.  I also loved Mrs. Doubtfire, Forrest Gump and Good Will Hunting. It was the least dark movie out of the bunch Why did you recommend this movie? hi. Final recommendation Why did you recommend this movie? ACCEPT. RECOMMEND Braveheart I like all of the actors you listed but have never heard of the movie.  I also love movies set in NYC. I like light movies usually, not anything dark or spooky.  I like Tom Hanks, Julia Roberts for instance. Why did you reject the movie? It has romance but with a very dark twist Do you think you'd enjoy something older, like something from the 70's? RECOMMEND Five Corners Yes! I like older movies. Why did you recommend this movie? Hello, can you tell me if you have any actors, directors, or genres that you're fond of? RECOMMEND Jurassic Park"
"['Saving Private Ryan', 'Phenomenon', 'Forrest Gump']",Why did you accept the movie? ACCEPT. The name itself sounds interesting. This is a good romantic drama Do you think you would like Forrest Gump? Or maybe a John Travolta movie that is a romantic fantasy drama? This is a good drama Why did you accept the movie? Hi I am into drama and love to see something directed by Steven Spielberg. Why did you accept the movie? RECOMMEND Phenomenon I love tom hanks so it would be a movie i'd watch. RECOMMEND Saving Private Ryan Why did you recommend this movie? Why did you recommend this movie? more of a romantic movie kind of person :). RECOMMEND Forrest Gump This is a great drama by Spielberg yes! ive always thought kevin costner was a great actor Why did you recommend this movie? I like drama and its directed by Stephen Spielberg. What else do you like? Do you like a specific actor? ACCEPT. ACCEPT.
"['American History X', 'Fight Club']","Are there any other actors or genres you may be interested in? RECOMMEND Fight Club REJECT. I love all kinds of dramas,  and i also LOVE quentin tarantino movies Why did you accept the movie? RECOMMEND American History X Why did you reject the movie? I dont have any Quentin Tarantino options to recommend, but maybe Fight Club would interest you. Why did you recommend this movie? This is the same genre that I like. It is simlar to reservoir dogs and inglorious bastards in the sense that it has some violence. ACCEPT. I would rather have a movie that was done by quentin tarantino, or something with Tom hanks, because I love both of them Maybe youll like this one, it is a drama from 1998. I like movies such as reservoir dogs and inglorious bastards, both done by tarantino Why did you recommend this movie?"
"['Aliens', ""Hellraiser (also known as Clive Barker's Hellraiser)"", 'Misery']","What about sci-fi?  Would you prefer a sci-fi movie that scares you, or one that's got fantastical elements? I've seen the first Alien, and loved it! Why did you accept the movie? ACCEPT. RECOMMEND Hellraiser (also known as Clive Barker's Hellraiser) Why did you accept the movie? RECOMMEND Misery Any love for franchise movies? I'm feeling a horror movie and I've had success with book adaptation movies. So, I'm kind of into scarier movies, movies that are thrilling, movies with a little bit of an edge and some fear factor to them. Anything along that route? Why did you recommend this movie? I've loved Stephen King in the past, yes! You know what, I think that'd be good, actually. That could work I love Stephen King. Why did you accept the movie? It's a series that has action/adventure and still has plenty of scares. ACCEPT. Do you like movies that are adaptations of books, or do you prefer original stories? I've had a lot of success with book adaptations, actually Do you like your scary movies to have fantastical or supernatural elements to them? ACCEPT. RECOMMEND Aliens Why did you recommend this movie? It's a horror movie, book adaptation, and is based on a Stephen King novel. Now that you mention it, I recently saw Indiana Jones and the Last Crusade. So, I've been able to get into them at some point, depending on the genre. Maybe something fantasy/adventure Hm.. That's hard... they're both good. I think I'd sooner say fantastical elements, if I had to choose Okay, do you like Stephen King? It's a scary movie and a book adaptation with fantastical elements. Why did you recommend this movie?"
"['Almost Famous', '2 Days in New York', 'Blue Car', 'Manhattan']","I think I would like either a comedy or a drama or a combination of both if you have something like that. It's a comedy drama. Why did you accept the movie? I think this is a good movie and fits what I was looking for. RECOMMEND Almost Famous Yes I do. Okay do you have any others you think I might like. Why did you recommend this movie? ACCEPT. Why did you accept the movie? ACCEPT. Do you like the director, Cameron Crowe? I like the newer movies better. Yes I think I can help you. What is your favorite genre/ REJECT. Ok, and would you prefer a newer movie or an older one. RECOMMEND Blue Car It's a newer romantic comedyy. Hi do you think you can help me find a good movie to watch? This one sounds good. Why did you recommend this movie? Ok, and do you like romantic comedies? This looks like a good movie. Why did you accept the movie? Why did you recommend this movie? ACCEPT. Why did you reject the movie? It's a drama from the 2000s. Let's try something different. Yes I do. RECOMMEND 2 Days in New York RECOMMEND Manhattan Why did you recommend this movie? I am not sure I would like this one. It's a drama directed by Cameron Crowe."
"['Bite the Bullet', 'American Beauty']","RECOMMEND Bite the Bullet I will give it a shot. Why did you recommend this movie? ACCEPT. I enjoy comedy, drama, and thriller. Why did you recommend this movie? RECOMMEND American Beauty Why did you accept the movie? its a good movie"
